College ID,State,Name of the College,"Govt./Aided/Private/
Deemed"
AYU0087,Karnataka,"Dhanvantari Ayurveda College & Hospital,
Siddapur, Sirsi Road, Distt.- Uttara Kannada 581355, Karnataka",Private
AYU0088,Karnataka,"Sri Balaji Education Trust, Rama Krishna Ayurvedic Medical College and Research Centre, #54/2, Ramagondanahalli, Yelahanka, Bangalore-560064,
Karnataka",Private
AYU0089,Karnataka,"SDM, College of Ayurveda & Hospital, Laxminarayan, Nagar, P.O. Kuthpady Taluk and Distt. Udupi-574118, Karnataka",Private
AYU0090,Karnataka,"Karnataka Ayurveda Medical College & Hospital
K.E.C.T Tower, Hoigebail, Ashok Nagar,
P. O. Mangalore D.K.-575006, Karnataka",Private
AYU0091,Karnataka,"Sushrutha Ayurvedic Medical College & Hospital, Prashanti Kuteera, Jodi Bingipur, Jigani Hobli, Anekal Taluk, Bangalore–560106,
Karnataka",Private
AYU0093,Karnataka,"Sri Sri College of Ayurvedic Sciences & Research, 21st KM Kanakapura Road, Post Udayapura , Bangalore-560062
Karnataka",Private
AYU0094,Karnataka,"Ashwini Ayurvedic Medical
College & Research Centre, Ring Road, Maralur Taluk & Distt. Tumkur-572105, Karnataka",Private
AYU0095,Karnataka,"Shri C.B. Guttal Ayurvedic Medical College, Mummigatti village Dist. Dharwad-580001 Karnataka",Private
AYU0096,Karnataka,"Atreya Ayurvedic Medical College, Hospital & Research Centre Post Kodigehalli, Doddaballapura,
Bangalore-561203, Karnataka",Private
AYU0097,Karnataka,"Sri Raghavendra Ayurveda Medical College & Hospital,
P.O Malladihalli, Tq. Holalkere, Distt. Chitradurga-577531, Karnataka",Private
AYU0098,Karnataka,"SDM Trust’s Ayurvedic Medical College, Padma Ayurvedic Hospital & Research Centre, Terdal, Tq. Jamkhandi, Dist. Bagalkot-587315, Karnataka",Private
AYU0099,Karnataka,"Shree Chhatrapati Shivaji Education Society’s
Dhanwantari Ayurvedic Medical College, Hospital & Research Centre, Industrial Area, Shiv- Shankar Nagar, Jatrat Road, Nipani, Tal: Chikodi, Dist Belgaum, Bangalore-591237, Karnataka",Private
AYU0100,Karnataka,"SMVVS, Smt. Rajeshwari Karpurmath Memorial Ayurved Medical College & Research Centre,
100ft. Ring Road, Behind KC Nagar, Bijapur-586103, Karnataka",Private
AYU0101,Karnataka,"YET’s Sri Siddhrameshwar Ayurvedic Medical College, Hospital & Research Centre, Naubad, Bidar-585402, Karnataka",Private
AYU0102,Karnataka,"S.S. Jambagi Memorial Education & Charitable Trust’s Shri Siddhivinayaka Rural Ayurveda College, Harugeri, Tq. Raibag, Distt. Belgaum-591220, Karnataka",Private
AYU0103,Karnataka,"Latthe Education Society’s Acharya Deshabhushan Ayurvedic Medical College & Hospital, A/P- Bedkihal, Shamanewadi, Tal-Chikodi, Distt. Belgaum-591214,
Karnataka",Private
AYU0104,Kerala,"Government Ayurveda College, Dhanwantri Nagar, Taluk Kanayannur, Distt. Ernakulam, Tripunithura-682301, Kerala",Government
AYU0105,Kerala,"Nangelil Ayurveda Medical College,
P.O Nellikuzhi, Taluka Kothamangalam, Distt. Ernakulam-686691 Kerala",Private
AYU0106,Kerala,"P.N. Panicker Souhruda Trust’s
Ayurveda Medical College, P.O: Parakalai, Anandashram(Via), Distt. Kasaragod-671531, Kerala",Private
AYU0107,Kerala,"Santhigiri Ayurveda Medical College, Olassey, P.O. Kodumbu (Via)
Taluk & District Palakkadu- 678551, Kerala",Private
AYU0108,Kerala,"Vaidyaratnam Ayurveda College, Ollur, Thaikkattussery, Thrissur-680322 ,Kerala",Government aided
AYU0109,Kerala,"Vishnu Ayurveda College,
P.O Government Press, Shoranur, Distt. Palakkad-679122 Kerala",Private
AYU0110,Kerala,"Vaidyaratnam P.S. Varier Ayurveda College, Kottakkal, P.O Edarikode, Taluk-Tirur, Distt.
Malappuram-676501, Kerala",Grant-in-aid
AYU0111,Kerala,"KMCT Ayurveda Medical College, Manassery, P.O, Taluk & District Kozhikkode-673602,
Kerala",Private
AYU0112,Kerala,"Mannam Ayurveda Co-Operative Medical College, MSM P.O. Pandalam,
Distt. Pathanamthitta-689501, Kerala",Private
AYU0113,Kerala,"PNNM Ayurveda Medical College, Shoranur, P.O. Cheruthuruthy, Taluk Thalappilly, Distt.- Thrissur-679531,Kerala",Private
AYU0114,Kerala,"Govt. Ayurveda College, M.G Road, Taluke & District Thiruvanathapuram-695001,
Kerala",Government
AYU0115,Kerala,"Pankajakasthuri Ayurveda Medical College, Killy, Kattakada Road, Thiruvanathapuram-695572,
Kerala",Private
AYU0116,Kerala,"Shree Narayan Institute of Ayurvedic Studies & Research, P.O Puthur, Kottarakkara (Via) Distt. Kollam-691507, Kerala",Private
AYU0117,Kerala,"Parassinikkadavu Ayurveda Medical College,
P.O Parassinikkadavu, Distt. Kannur-670563,
Kerala",Private
AYU0118,Kerala,"Government Ayurveda College ,
P.O Pariyaram Medical College, Kannur-670503, Kerala",Government
AYU0119,Kerala,"Amrita School of Ayurveda,
P.O Clappana, Taluk-Karunagappally, Distt. Kollam-690525, Kerala",Deemed University (Private)
AYU0120,Kerala,"Ahalia Ayurveda Medical College, Kozhipara, Palakkad, Distt. 678557, Kerala",Private
AYU0121,Madhya Pradesh,"Govt. Auto Ayurved College & Hospital, Amkho, Lashkar, Gwalior-474009, Madhya Pradesh",Government
AYU0123,Madhya Pradesh,"Government Autonomous Ayurved College, Gwarighat, Jabalpur- 482001,
Madhya Pradesh",Government
AYU0124,Madhya Pradesh,"Government Autonomous Dhanwantri Ayurved College, Mangalnath Marg, Taluka & District Ujjain-456001,
Madhya Pradesh",Government
AYU0125,Madhya Pradesh,"Pt. Shivshaktilal Sharma Ayurvedic College & Hospital, Banjali, Sailana Road,Distt. Ratlam- 457001,
Madhya Pradesh",Private
AYU0127,Madhya Pradesh,"Pt. Shivnath Shastri Government Autonomous Ayurveda College & Hospital Shikarpura, Near Water Tank, Burhanpur-450331, Madhya Pradesh",Government
AYU0128,Madhya Pradesh,"Shaskiya Swashasi Ashtanga Ayurved Mahavidyalaya, Lokmanay Nagar, Indore-452009, Madhya Pradesh",Government
AYU0131,Madhya Pradesh,"Shubhdeep Ayurved Medical College, Gram- Datoda, Khandwa Road Teh. Mhow, Near Chokhi Dhani Distt.- Indore-452020 Madhya Pradesh",Private
AYU0132,Madhya Pradesh,"Govt. (Auto) Ayurved College, Nipaniya Dist-Rewa 484001, Madhya Pradesh",Government
